,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.4343,CELL.4343,4,Injury_20DPI_rep1_SS200000147BL_B4,4343,6,2091.0,5888.0,inj,V,OBNBL,OBNBL
CELL.4344,CELL.4344,0,Injury_20DPI_rep1_SS200000147BL_B4,4344,0,2097.0,6101.0,inj,V,MSN,MSN
CELL.4345,CELL.4345,0,Injury_20DPI_rep1_SS200000147BL_B4,4345,0,2092.0,9995.0,uninj,V,MSN,MSN
CELL.4346,CELL.4346,4,Injury_20DPI_rep1_SS200000147BL_B4,4346,6,2097.0,5702.0,inj,V,OBNBL,OBNBL
CELL.4347,CELL.4347,4,Injury_20DPI_rep1_SS200000147BL_B4,4347,6,2100.0,5781.0,inj,V,OBNBL,OBNBL
CELL.4348,CELL.4348,1,Injury_20DPI_rep1_SS200000147BL_B4,4348,1,2095.0,6307.0,inj,V,DIPC,TLNBL
CELL.4349,CELL.4349,0,Injury_20DPI_rep1_SS200000147BL_B4,4349,1,2099.0,10163.0,uninj,V,DIPC,TLNBL
CELL.4350,CELL.4350,5,Injury_20DPI_rep1_SS200000147BL_B4,4350,7,2095.0,11198.0,uninj,V,VLMC,VLMC
CELL.4351,CELL.4351,6,Injury_20DPI_rep1_SS200000147BL_B4,4351,12,2094.0,8198.0,uninj,V,OLIGO,OLIGO
CELL.4352,CELL.4352,5,Injury_20DPI_rep1_SS200000147BL_B4,4352,12,2101.0,4699.0,inj,V,VLMC,VLMC
CELL.4353,CELL.4353,0,Injury_20DPI_rep1_SS200000147BL_B4,4353,0,2096.0,6238.0,inj,V,MSN,MSN
CELL.4354,CELL.4354,0,Injury_20DPI_rep1_SS200000147BL_B4,4354,13,2099.0,9963.0,uninj,V,SCGNIN,SCGNIN
CELL.4355,CELL.4355,5,Injury_20DPI_rep1_SS200000147BL_B4,4355,7,2100.0,11239.0,uninj,V,VLMC,VLMC
CELL.4356,CELL.4356,4,Injury_20DPI_rep1_SS200000147BL_B4,4356,6,2096.0,10714.0,uninj,V,OBNBL,OBNBL
CELL.4357,CELL.4357,4,Injury_20DPI_rep1_SS200000147BL_B4,4357,6,2105.0,5582.0,inj,V,OBNBL,OBNBL
CELL.4358,CELL.4358,4,Injury_20DPI_rep1_SS200000147BL_B4,4358,6,2095.0,5734.0,inj,V,OBNBL,OBNBL
CELL.4359,CELL.4359,3,Injury_20DPI_rep1_SS200000147BL_B4,4359,11,2098.0,7647.0,inj,V,VLMC,VLMC
CELL.4360,CELL.4360,5,Injury_20DPI_rep1_SS200000147BL_B4,4360,12,2102.0,4720.0,inj,V,VLMC,VLMC
CELL.4361,CELL.4361,0,Injury_20DPI_rep1_SS200000147BL_B4,4361,0,2108.0,9857.0,uninj,V,MSN,MSN
CELL.4362,CELL.4362,1,Injury_20DPI_rep1_SS200000147BL_B4,4362,1,2099.0,10193.0,uninj,V,SFRPRGC,SFRPEGC
CELL.4363,CELL.4363,7,Injury_20DPI_rep1_SS200000147BL_B4,4363,4,2099.0,10441.0,uninj,V,Immature Neuron-Wound,RIPC4
CELL.4366,CELL.4366,5,Injury_20DPI_rep1_SS200000147BL_B4,4366,7,2103.0,7862.0,inj,V,VLMC,VLMC
CELL.4367,CELL.4367,0,Injury_20DPI_rep1_SS200000147BL_B4,4367,11,2104.0,9759.0,uninj,V,VLMC,VLMC
CELL.4368,CELL.4368,1,Injury_20DPI_rep1_SS200000147BL_B4,4368,1,2099.0,9652.0,uninj,V,SFRPRGC,SFRPEGC
CELL.4370,CELL.4370,0,Injury_20DPI_rep1_SS200000147BL_B4,4370,0,2104.0,6000.0,inj,V,MSN,MSN
CELL.4371,CELL.4371,1,Injury_20DPI_rep1_SS200000147BL_B4,4371,1,2108.0,9203.0,uninj,V,DIPC,TLNBL
CELL.4372,CELL.4372,0,Injury_20DPI_rep1_SS200000147BL_B4,4372,11,2103.0,9783.0,uninj,V,VLMC,VLMC
CELL.4373,CELL.4373,6,Injury_20DPI_rep1_SS200000147BL_B4,4373,1,2108.0,4837.0,inj,V,DIPC,TLNBL
CELL.4374,CELL.4374,4,Injury_20DPI_rep1_SS200000147BL_B4,4374,6,2106.0,10368.0,uninj,V,OBNBL,OBNBL
CELL.4375,CELL.4375,0,Injury_20DPI_rep1_SS200000147BL_B4,4375,0,2104.0,6165.0,inj,V,MSN,MSN
CELL.4376,CELL.4376,2,Injury_20DPI_rep1_SS200000147BL_B4,4376,8,2099.0,8351.0,uninj,V,MPEX,MPEX
CELL.4377,CELL.4377,0,Injury_20DPI_rep1_SS200000147BL_B4,4377,0,2116.0,10052.0,uninj,V,MSN,MSN
CELL.4378,CELL.4378,4,Injury_20DPI_rep1_SS200000147BL_B4,4378,6,2102.0,10656.0,uninj,V,OBNBL,OBNBL
CELL.4380,CELL.4380,6,Injury_20DPI_rep1_SS200000147BL_B4,4380,3,2108.0,6782.0,inj,V,CMPN,CMPN
CELL.4381,CELL.4381,0,Injury_20DPI_rep1_SS200000147BL_B4,4381,0,2109.0,6122.0,inj,V,MSN,MSN
CELL.4382,CELL.4382,2,Injury_20DPI_rep1_SS200000147BL_B4,4382,8,2109.0,8936.0,uninj,V,MPEX,MPEX
CELL.4383,CELL.4383,2,Injury_20DPI_rep1_SS200000147BL_B4,4383,2,2106.0,9152.0,uninj,V,Immature EX,TLNBL
CELL.4384,CELL.4384,2,Injury_20DPI_rep1_SS200000147BL_B4,4384,8,2113.0,9108.0,uninj,V,MPEX,MPEX
CELL.4385,CELL.4385,2,Injury_20DPI_rep1_SS200000147BL_B4,4385,8,2112.0,7040.0,inj,V,MPEX,MPEX
CELL.4387,CELL.4387,1,Injury_20DPI_rep1_SS200000147BL_B4,4387,10,2115.0,6664.0,inj,V,WNTRGC,WNTEGC
CELL.4388,CELL.4388,0,Injury_20DPI_rep1_SS200000147BL_B4,4388,0,2109.0,9897.0,uninj,V,MSN,MSN
CELL.4389,CELL.4389,0,Injury_20DPI_rep1_SS200000147BL_B4,4389,0,2111.0,10138.0,uninj,V,MSN,MSN
CELL.4390,CELL.4390,4,Injury_20DPI_rep1_SS200000147BL_B4,4390,9,2113.0,10409.0,uninj,V,Immature Neuron-Wound,RIPC4
CELL.4391,CELL.4391,0,Injury_20DPI_rep1_SS200000147BL_B4,4391,0,2111.0,6043.0,inj,V,MSN,MSN
CELL.4392,CELL.4392,2,Injury_20DPI_rep1_SS200000147BL_B4,4392,2,2115.0,6706.0,inj,V,Immature EX,TLNBL
CELL.4394,CELL.4394,2,Injury_20DPI_rep1_SS200000147BL_B4,4394,8,2115.0,8839.0,uninj,V,MPEX,MPEX
CELL.4395,CELL.4395,0,Injury_20DPI_rep1_SS200000147BL_B4,4395,0,2115.0,9815.0,uninj,V,MSN,MSN
CELL.4397,CELL.4397,2,Injury_20DPI_rep1_SS200000147BL_B4,4397,8,2116.0,8721.0,uninj,V,MPEX,MPEX
CELL.4398,CELL.4398,0,Injury_20DPI_rep1_SS200000147BL_B4,4398,0,2119.0,9935.0,uninj,V,MSN,MSN
CELL.4400,CELL.4400,1,Injury_20DPI_rep1_SS200000147BL_B4,4400,1,2110.0,6401.0,inj,V,SFRPRGC,SFRPEGC
CELL.4402,CELL.4402,1,Injury_20DPI_rep1_SS200000147BL_B4,4402,10,2117.0,6633.0,inj,V,WNTRGC,WNTEGC
CELL.4403,CELL.4403,2,Injury_20DPI_rep1_SS200000147BL_B4,4403,8,2120.0,7252.0,inj,V,MPEX,MPEX
CELL.4405,CELL.4405,4,Injury_20DPI_rep1_SS200000147BL_B4,4405,11,2130.0,5328.0,inj,V,VLMC,VLMC
CELL.4406,CELL.4406,5,Injury_20DPI_rep1_SS200000147BL_B4,4406,7,2121.0,7690.0,inj,V,VLMC,VLMC
CELL.4408,CELL.4408,4,Injury_20DPI_rep1_SS200000147BL_B4,4408,6,2119.0,10785.0,uninj,V,OBNBL,OBNBL
CELL.4409,CELL.4409,0,Injury_20DPI_rep1_SS200000147BL_B4,4409,0,2116.0,6197.0,inj,V,MSN,MSN
CELL.4410,CELL.4410,2,Injury_20DPI_rep1_SS200000147BL_B4,4410,14,2122.0,7307.0,inj,V,SSTIN,SSTIN
CELL.4411,CELL.4411,5,Injury_20DPI_rep1_SS200000147BL_B4,4411,11,2116.0,4982.0,inj,V,VLMC,VLMC
CELL.4412,CELL.4412,4,Injury_20DPI_rep1_SS200000147BL_B4,4412,6,2117.0,5820.0,inj,V,OBNBL,OBNBL
CELL.4413,CELL.4413,0,Injury_20DPI_rep1_SS200000147BL_B4,4413,0,2119.0,6268.0,inj,V,MSN,MSN
CELL.4414,CELL.4414,1,Injury_20DPI_rep1_SS200000147BL_B4,4414,1,2127.0,6531.0,inj,V,SFRPRGC,SFRPEGC
CELL.4415,CELL.4415,0,Injury_20DPI_rep1_SS200000147BL_B4,4415,13,2121.0,9969.0,uninj,V,SCGNIN,SCGNIN
CELL.4416,CELL.4416,0,Injury_20DPI_rep1_SS200000147BL_B4,4416,0,2123.0,6302.0,inj,V,MSN,MSN
CELL.4417,CELL.4417,0,Injury_20DPI_rep1_SS200000147BL_B4,4417,1,2119.0,10213.0,uninj,V,DIPC,TLNBL
CELL.4418,CELL.4418,0,Injury_20DPI_rep1_SS200000147BL_B4,4418,0,2123.0,10244.0,uninj,V,MSN,MSN
CELL.4419,CELL.4419,6,Injury_20DPI_rep1_SS200000147BL_B4,4419,14,2120.0,8447.0,uninj,V,SSTIN,SSTIN
CELL.4420,CELL.4420,1,Injury_20DPI_rep1_SS200000147BL_B4,4420,1,2120.0,9698.0,uninj,V,SFRPRGC,SFRPEGC
CELL.4421,CELL.4421,0,Injury_20DPI_rep1_SS200000147BL_B4,4421,13,2126.0,10006.0,uninj,V,SCGNIN,SCGNIN
CELL.4422,CELL.4422,1,Injury_20DPI_rep1_SS200000147BL_B4,4422,1,2125.0,6473.0,inj,V,DIPC,TLNBL
CELL.4423,CELL.4423,6,Injury_20DPI_rep1_SS200000147BL_B4,4423,14,2124.0,7436.0,inj,V,SSTIN,SSTIN
CELL.4424,CELL.4424,0,Injury_20DPI_rep1_SS200000147BL_B4,4424,0,2125.0,10170.0,uninj,V,MSN,MSN
CELL.4425,CELL.4425,0,Injury_20DPI_rep1_SS200000147BL_B4,4425,0,2124.0,6234.0,inj,V,MSN,MSN
CELL.4426,CELL.4426,4,Injury_20DPI_rep1_SS200000147BL_B4,4426,6,2130.0,10315.0,uninj,V,OBNBL,OBNBL
CELL.4427,CELL.4427,4,Injury_20DPI_rep1_SS200000147BL_B4,4427,6,2122.0,10345.0,uninj,V,OBNBL,OBNBL
CELL.4428,CELL.4428,4,Injury_20DPI_rep1_SS200000147BL_B4,4428,6,2126.0,10564.0,uninj,V,OBNBL,OBNBL
CELL.4429,CELL.4429,5,Injury_20DPI_rep1_SS200000147BL_B4,4429,7,2128.0,11244.0,uninj,V,VLMC,VLMC
CELL.4430,CELL.4430,2,Injury_20DPI_rep1_SS200000147BL_B4,4430,8,2127.0,8546.0,uninj,V,MPEX,MPEX
CELL.4431,CELL.4431,5,Injury_20DPI_rep1_SS200000147BL_B4,4431,7,2125.0,11214.0,uninj,V,VLMC,VLMC
CELL.4432,CELL.4432,2,Injury_20DPI_rep1_SS200000147BL_B4,4432,8,2125.0,7079.0,inj,V,MPEX,MPEX
CELL.4434,CELL.4434,2,Injury_20DPI_rep1_SS200000147BL_B4,4434,8,2128.0,8427.0,uninj,V,MPEX,MPEX
CELL.4435,CELL.4435,2,Injury_20DPI_rep1_SS200000147BL_B4,4435,8,2131.0,9015.0,uninj,V,MPEX,MPEX
CELL.4436,CELL.4436,2,Injury_20DPI_rep1_SS200000147BL_B4,4436,8,2128.0,9040.0,uninj,V,MPEX,MPEX
CELL.4437,CELL.4437,5,Injury_20DPI_rep1_SS200000147BL_B4,4437,12,2135.0,4747.0,inj,V,VLMC,VLMC
CELL.4438,CELL.4438,0,Injury_20DPI_rep1_SS200000147BL_B4,4438,0,2127.0,9841.0,uninj,V,MSN,MSN
CELL.4439,CELL.4439,5,Injury_20DPI_rep1_SS200000147BL_B4,4439,12,2134.0,4694.0,inj,V,VLMC,VLMC
CELL.4443,CELL.4443,0,Injury_20DPI_rep1_SS200000147BL_B4,4443,0,2134.0,6094.0,inj,V,MSN,MSN
CELL.4444,CELL.4444,6,Injury_20DPI_rep1_SS200000147BL_B4,4444,1,2131.0,6591.0,inj,V,DIPC,TLNBL
CELL.4445,CELL.4445,6,Injury_20DPI_rep1_SS200000147BL_B4,4445,11,2129.0,5455.0,inj,V,VLMC,VLMC
CELL.4446,CELL.4446,4,Injury_20DPI_rep1_SS200000147BL_B4,4446,6,2134.0,5803.0,inj,V,OBNBL,OBNBL
CELL.4447,CELL.4447,0,Injury_20DPI_rep1_SS200000147BL_B4,4447,0,2123.0,6152.0,inj,V,MSN,MSN
CELL.4448,CELL.4448,0,Injury_20DPI_rep1_SS200000147BL_B4,4448,1,2130.0,9762.0,uninj,V,DIPC,TLNBL
CELL.4449,CELL.4449,4,Injury_20DPI_rep1_SS200000147BL_B4,4449,6,2137.0,5623.0,inj,V,OBNBL,OBNBL
CELL.4450,CELL.4450,2,Injury_20DPI_rep1_SS200000147BL_B4,4450,14,2135.0,7524.0,inj,V,SSTIN,SSTIN
CELL.4451,CELL.4451,0,Injury_20DPI_rep1_SS200000147BL_B4,4451,0,2135.0,9901.0,uninj,V,MSN,MSN
CELL.4453,CELL.4453,4,Injury_20DPI_rep1_SS200000147BL_B4,4453,6,2132.0,5564.0,inj,V,OBNBL,OBNBL
CELL.4454,CELL.4454,6,Injury_20DPI_rep1_SS200000147BL_B4,4454,0,2135.0,5856.0,inj,V,MSN,MSN
CELL.4456,CELL.4456,0,Injury_20DPI_rep1_SS200000147BL_B4,4456,0,2136.0,6200.0,inj,V,MSN,MSN
CELL.4457,CELL.4457,5,Injury_20DPI_rep1_SS200000147BL_B4,4457,7,2135.0,7670.0,inj,V,VLMC,VLMC
CELL.4458,CELL.4458,2,Injury_20DPI_rep1_SS200000147BL_B4,4458,8,2141.0,6884.0,inj,V,MPEX,MPEX
CELL.4460,CELL.4460,4,Injury_20DPI_rep1_SS200000147BL_B4,4460,6,2135.0,5594.0,inj,V,OBNBL,OBNBL
CELL.4461,CELL.4461,2,Injury_20DPI_rep1_SS200000147BL_B4,4461,8,2131.0,7048.0,inj,V,MPEX,MPEX
CELL.4462,CELL.4462,0,Injury_20DPI_rep1_SS200000147BL_B4,4462,1,2139.0,9816.0,uninj,V,DIPC,TLNBL
CELL.4463,CELL.4463,0,Injury_20DPI_rep1_SS200000147BL_B4,4463,0,2139.0,9981.0,uninj,V,MSN,MSN
CELL.4464,CELL.4464,6,Injury_20DPI_rep1_SS200000147BL_B4,4464,0,2140.0,5897.0,inj,V,MSN,MSN
CELL.4465,CELL.4465,1,Injury_20DPI_rep1_SS200000147BL_B4,4465,10,2142.0,6708.0,inj,V,WNTRGC,WNTEGC
CELL.4466,CELL.4466,1,Injury_20DPI_rep1_SS200000147BL_B4,4466,10,2135.0,9138.0,uninj,V,WNTRGC,WNTEGC
CELL.4467,CELL.4467,0,Injury_20DPI_rep1_SS200000147BL_B4,4467,0,2144.0,10034.0,uninj,V,SCGNIN,SCGNIN
CELL.4468,CELL.4468,4,Injury_20DPI_rep1_SS200000147BL_B4,4468,6,2138.0,5351.0,inj,V,OBNBL,OBNBL
CELL.4469,CELL.4469,1,Injury_20DPI_rep1_SS200000147BL_B4,4469,1,2130.0,6445.0,inj,V,SFRPRGC,SFRPEGC
CELL.4470,CELL.4470,2,Injury_20DPI_rep1_SS200000147BL_B4,4470,14,2144.0,6770.0,inj,V,SSTIN,SSTIN
CELL.4472,CELL.4472,2,Injury_20DPI_rep1_SS200000147BL_B4,4472,8,2142.0,8387.0,uninj,V,MPEX,MPEX
CELL.4473,CELL.4473,0,Injury_20DPI_rep1_SS200000147BL_B4,4473,11,2134.0,9785.0,uninj,V,VLMC,VLMC
CELL.4474,CELL.4474,0,Injury_20DPI_rep1_SS200000147BL_B4,4474,0,2141.0,9928.0,uninj,V,MSN,MSN
CELL.4475,CELL.4475,0,Injury_20DPI_rep1_SS200000147BL_B4,4475,0,2143.0,10141.0,uninj,V,MSN,MSN
CELL.4476,CELL.4476,0,Injury_20DPI_rep1_SS200000147BL_B4,4476,0,2144.0,6217.0,inj,V,MSN,MSN
CELL.4477,CELL.4477,1,Injury_20DPI_rep1_SS200000147BL_B4,4477,10,2142.0,6664.0,inj,V,WNTRGC,WNTEGC
CELL.4479,CELL.4479,5,Injury_20DPI_rep1_SS200000147BL_B4,4479,4,2144.0,7929.0,uninj,V,Immature Neuron-Wound,RIPC4
CELL.4480,CELL.4480,2,Injury_20DPI_rep1_SS200000147BL_B4,4480,8,2144.0,9076.0,uninj,V,MPEX,MPEX
CELL.4481,CELL.4481,1,Injury_20DPI_rep1_SS200000147BL_B4,4481,1,2139.0,9202.0,uninj,V,DIPC,TLNBL
CELL.4482,CELL.4482,0,Injury_20DPI_rep1_SS200000147BL_B4,4482,0,2149.0,9874.0,uninj,V,MSN,MSN
CELL.4483,CELL.4483,0,Injury_20DPI_rep1_SS200000147BL_B4,4483,13,2147.0,5971.0,inj,V,SCGNIN,SCGNIN
CELL.4484,CELL.4484,0,Injury_20DPI_rep1_SS200000147BL_B4,4484,0,2141.0,6132.0,inj,V,MSN,MSN
CELL.4485,CELL.4485,0,Injury_20DPI_rep1_SS200000147BL_B4,4485,0,2144.0,6256.0,inj,V,MSN,MSN
CELL.4486,CELL.4486,2,Injury_20DPI_rep1_SS200000147BL_B4,4486,8,2146.0,7209.0,inj,V,MPEX,MPEX
CELL.4487,CELL.4487,2,Injury_20DPI_rep1_SS200000147BL_B4,4487,8,2144.0,7235.0,inj,V,MPEX,MPEX
CELL.4488,CELL.4488,4,Injury_20DPI_rep1_SS200000147BL_B4,4488,6,2152.0,10648.0,uninj,V,OBNBL,OBNBL
CELL.4489,CELL.4489,5,Injury_20DPI_rep1_SS200000147BL_B4,4489,7,2150.0,11308.0,uninj,V,VLMC,VLMC
CELL.4490,CELL.4490,0,Injury_20DPI_rep1_SS200000147BL_B4,4490,6,2149.0,5938.0,inj,V,OBNBL,OBNBL
CELL.4491,CELL.4491,6,Injury_20DPI_rep1_SS200000147BL_B4,4491,6,2151.0,10375.0,uninj,V,OBNBL,OBNBL
CELL.4493,CELL.4493,4,Injury_20DPI_rep1_SS200000147BL_B4,4493,7,2150.0,5309.0,inj,V,VLMC,VLMC
CELL.4494,CELL.4494,0,Injury_20DPI_rep1_SS200000147BL_B4,4494,0,2149.0,6042.0,inj,V,MSN,MSN
CELL.4495,CELL.4495,0,Injury_20DPI_rep1_SS200000147BL_B4,4495,1,2151.0,6309.0,inj,V,DIPC,TLNBL
CELL.4496,CELL.4496,2,Injury_20DPI_rep1_SS200000147BL_B4,4496,8,2153.0,8449.0,uninj,V,MPEX,MPEX
CELL.4497,CELL.4497,1,Injury_20DPI_rep1_SS200000147BL_B4,4497,1,2145.0,9729.0,uninj,V,SFRPRGC,SFRPEGC
CELL.4498,CELL.4498,0,Injury_20DPI_rep1_SS200000147BL_B4,4498,0,2151.0,9838.0,uninj,V,MSN,MSN
CELL.4499,CELL.4499,5,Injury_20DPI_rep1_SS200000147BL_B4,4499,12,2152.0,7890.0,uninj,V,VLMC,VLMC
CELL.4501,CELL.4501,0,Injury_20DPI_rep1_SS200000147BL_B4,4501,0,2147.0,10231.0,uninj,V,MSN,MSN
CELL.4502,CELL.4502,5,Injury_20DPI_rep1_SS200000147BL_B4,4502,11,2153.0,5259.0,inj,V,VLMC,VLMC
CELL.4503,CELL.4503,0,Injury_20DPI_rep1_SS200000147BL_B4,4503,0,2143.0,10116.0,uninj,V,MSN,MSN
CELL.4504,CELL.4504,4,Injury_20DPI_rep1_SS200000147BL_B4,4504,6,2155.0,10268.0,uninj,V,OBNBL,OBNBL
CELL.4505,CELL.4505,4,Injury_20DPI_rep1_SS200000147BL_B4,4505,6,2153.0,5489.0,inj,V,OBNBL,OBNBL
CELL.4508,CELL.4508,0,Injury_20DPI_rep1_SS200000147BL_B4,4508,0,2151.0,10188.0,uninj,V,MSN,MSN
CELL.4510,CELL.4510,4,Injury_20DPI_rep1_SS200000147BL_B4,4510,6,2155.0,10799.0,uninj,V,OBNBL,OBNBL
CELL.4511,CELL.4511,0,Injury_20DPI_rep1_SS200000147BL_B4,4511,0,2160.0,10013.0,uninj,V,MSN,MSN
CELL.4512,CELL.4512,4,Injury_20DPI_rep1_SS200000147BL_B4,4512,6,2158.0,10708.0,uninj,V,OBNBL,OBNBL
CELL.4513,CELL.4513,5,Injury_20DPI_rep1_SS200000147BL_B4,4513,7,2156.0,11226.0,uninj,V,VLMC,VLMC
CELL.4514,CELL.4514,4,Injury_20DPI_rep1_SS200000147BL_B4,4514,6,2157.0,5724.0,inj,V,OBNBL,OBNBL
CELL.4516,CELL.4516,1,Injury_20DPI_rep1_SS200000147BL_B4,4516,10,2154.0,6632.0,inj,V,WNTRGC,WNTEGC
CELL.4517,CELL.4517,2,Injury_20DPI_rep1_SS200000147BL_B4,4517,14,2158.0,8935.0,uninj,V,SSTIN,SSTIN
CELL.4519,CELL.4519,5,Injury_20DPI_rep1_SS200000147BL_B4,4519,12,2158.0,4703.0,inj,V,VLMC,VLMC
CELL.4520,CELL.4520,1,Injury_20DPI_rep1_SS200000147BL_B4,4520,1,2149.0,6356.0,inj,V,SFRPRGC,SFRPEGC
CELL.4522,CELL.4522,1,Injury_20DPI_rep1_SS200000147BL_B4,4522,1,2167.0,6497.0,inj,V,SFRPRGC,SFRPEGC
CELL.4523,CELL.4523,0,Injury_20DPI_rep1_SS200000147BL_B4,4523,0,2159.0,9907.0,uninj,V,MSN,MSN
CELL.4524,CELL.4524,1,Injury_20DPI_rep1_SS200000147BL_B4,4524,10,2158.0,6687.0,inj,V,WNTRGC,WNTEGC
CELL.4525,CELL.4525,0,Injury_20DPI_rep1_SS200000147BL_B4,4525,0,2164.0,10163.0,uninj,V,MSN,MSN
CELL.4528,CELL.4528,0,Injury_20DPI_rep1_SS200000147BL_B4,4528,0,2171.0,9978.0,uninj,V,MSN,MSN
CELL.4529,CELL.4529,5,Injury_20DPI_rep1_SS200000147BL_B4,4529,11,2161.0,11006.0,uninj,V,VLMC,VLMC
CELL.4530,CELL.4530,0,Injury_20DPI_rep1_SS200000147BL_B4,4530,1,2157.0,9802.0,uninj,V,SFRPRGC,SFRPEGC
CELL.4531,CELL.4531,4,Injury_20DPI_rep1_SS200000147BL_B4,4531,9,2160.0,10604.0,uninj,V,OBNBL,OBNBL
CELL.4532,CELL.4532,4,Injury_20DPI_rep1_SS200000147BL_B4,4532,7,2160.0,5331.0,inj,V,VLMC,VLMC
CELL.4533,CELL.4533,6,Injury_20DPI_rep1_SS200000147BL_B4,4533,8,2163.0,7501.0,inj,V,MPEX,MPEX
CELL.4534,CELL.4534,0,Injury_20DPI_rep1_SS200000147BL_B4,4534,0,2163.0,10140.0,uninj,V,MSN,MSN
CELL.4535,CELL.4535,0,Injury_20DPI_rep1_SS200000147BL_B4,4535,0,2164.0,6198.0,inj,V,MSN,MSN
CELL.4536,CELL.4536,0,Injury_20DPI_rep1_SS200000147BL_B4,4536,1,2170.0,6278.0,inj,V,DIPC,TLNBL
CELL.4537,CELL.4537,2,Injury_20DPI_rep1_SS200000147BL_B4,4537,8,2165.0,7201.0,inj,V,MPEX,MPEX
CELL.4538,CELL.4538,6,Injury_20DPI_rep1_SS200000147BL_B4,4538,14,2165.0,7525.0,inj,V,SSTIN,SSTIN
CELL.4539,CELL.4539,0,Injury_20DPI_rep1_SS200000147BL_B4,4539,0,2158.0,9946.0,uninj,V,MSN,MSN
CELL.4540,CELL.4540,1,Injury_20DPI_rep1_SS200000147BL_B4,4540,1,2167.0,6449.0,inj,V,SFRPRGC,SFRPEGC
CELL.4541,CELL.4541,2,Injury_20DPI_rep1_SS200000147BL_B4,4541,8,2166.0,7222.0,inj,V,MPEX,MPEX
CELL.4542,CELL.4542,4,Injury_20DPI_rep1_SS200000147BL_B4,4542,6,2164.0,5778.0,inj,V,OBNBL,OBNBL
CELL.4544,CELL.4544,2,Injury_20DPI_rep1_SS200000147BL_B4,4544,8,2166.0,7290.0,inj,V,MPEX,MPEX
CELL.4545,CELL.4545,1,Injury_20DPI_rep1_SS200000147BL_B4,4545,10,2165.0,9149.0,uninj,V,WNTRGC,WNTEGC
CELL.4546,CELL.4546,0,Injury_20DPI_rep1_SS200000147BL_B4,4546,0,2168.0,9879.0,uninj,V,MSN,MSN
CELL.4547,CELL.4547,5,Injury_20DPI_rep1_SS200000147BL_B4,4547,11,2167.0,5191.0,inj,V,VLMC,VLMC
CELL.4548,CELL.4548,1,Injury_20DPI_rep1_SS200000147BL_B4,4548,1,2168.0,9766.0,uninj,V,SFRPRGC,SFRPEGC
CELL.4549,CELL.4549,2,Injury_20DPI_rep1_SS200000147BL_B4,4549,14,2171.0,7364.0,inj,V,SSTIN,SSTIN
CELL.4550,CELL.4550,2,Injury_20DPI_rep1_SS200000147BL_B4,4550,2,2163.0,9122.0,uninj,V,Immature EX,TLNBL
CELL.4551,CELL.4551,5,Injury_20DPI_rep1_SS200000147BL_B4,4551,7,2172.0,11199.0,uninj,V,VLMC,VLMC
CELL.4552,CELL.4552,6,Injury_20DPI_rep1_SS200000147BL_B4,4552,12,2170.0,5885.0,inj,V,OLIGO,OLIGO
CELL.4553,CELL.4553,0,Injury_20DPI_rep1_SS200000147BL_B4,4553,0,2161.0,10070.0,uninj,V,MSN,MSN
CELL.4554,CELL.4554,0,Injury_20DPI_rep1_SS200000147BL_B4,4554,0,2171.0,6126.0,inj,V,MSN,MSN
CELL.4555,CELL.4555,1,Injury_20DPI_rep1_SS200000147BL_B4,4555,1,2173.0,6470.0,inj,V,SFRPRGC,SFRPEGC
CELL.4558,CELL.4558,2,Injury_20DPI_rep1_SS200000147BL_B4,4558,8,2177.0,9028.0,uninj,V,MPEX,MPEX
CELL.4559,CELL.4559,4,Injury_20DPI_rep1_SS200000147BL_B4,4559,9,2175.0,10681.0,uninj,V,OBNBL,OBNBL
CELL.4560,CELL.4560,5,Injury_20DPI_rep1_SS200000147BL_B4,4560,12,2175.0,7828.0,inj,V,VLMC,VLMC
CELL.4561,CELL.4561,4,Injury_20DPI_rep1_SS200000147BL_B4,4561,6,2182.0,10537.0,uninj,V,OBNBL,OBNBL
CELL.4562,CELL.4562,4,Injury_20DPI_rep1_SS200000147BL_B4,4562,6,2169.0,5739.0,inj,V,OBNBL,OBNBL
CELL.4563,CELL.4563,0,Injury_20DPI_rep1_SS200000147BL_B4,4563,6,2170.0,5934.0,inj,V,OBNBL,OBNBL
CELL.4565,CELL.4565,1,Injury_20DPI_rep1_SS200000147BL_B4,4565,10,2174.0,9182.0,uninj,V,WNTRGC,WNTEGC
CELL.4566,CELL.4566,4,Injury_20DPI_rep1_SS200000147BL_B4,4566,6,2178.0,10282.0,uninj,V,OBNBL,OBNBL
CELL.4567,CELL.4567,4,Injury_20DPI_rep1_SS200000147BL_B4,4567,6,2177.0,5807.0,inj,V,OBNBL,OBNBL
CELL.4568,CELL.4568,0,Injury_20DPI_rep1_SS200000147BL_B4,4568,6,2172.0,5979.0,inj,V,OBNBL,OBNBL
CELL.4570,CELL.4570,2,Injury_20DPI_rep1_SS200000147BL_B4,4570,8,2187.0,8835.0,uninj,V,MPEX,MPEX
CELL.4571,CELL.4571,0,Injury_20DPI_rep1_SS200000147BL_B4,4571,0,2174.0,9835.0,uninj,V,MSN,MSN
CELL.4572,CELL.4572,4,Injury_20DPI_rep1_SS200000147BL_B4,4572,6,2176.0,10624.0,uninj,V,OBNBL,OBNBL
