,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,inj_M_L,x_center,y_center,Annotation_Final,Annotation_0306
CELL.5101,CELL.5101,4,Injury_15DPI_rep2_FP200000266TR_E2,5101,0,MPEX,uninj,V,NO,2074.0,3812.0,MPEX,MPEX
CELL.5102,CELL.5102,2,Injury_15DPI_rep2_FP200000266TR_E2,5102,4,SFRP1RGC,inj,D,inj_D_LP,2072.0,860.0,SFRPRGC,SFRPEGC
CELL.5103,CELL.5103,4,Injury_15DPI_rep2_FP200000266TR_E2,5103,0,DPEX,inj,V,NO,2074.0,1974.0,DPEX,DPEX
CELL.5104,CELL.5104,4,Injury_15DPI_rep2_FP200000266TR_E2,5104,0,MPEX,uninj,V,NO,2072.0,3984.0,MPEX,MPEX
CELL.5105,CELL.5105,2,Injury_15DPI_rep2_FP200000266TR_E2,5105,6,WNTRGC,uninj,V,NO,2076.0,4064.0,WNTRGC,WNTEGC
CELL.5106,CELL.5106,3,Injury_15DPI_rep2_FP200000266TR_E2,5106,14,SCGNIN,inj,D,inj_D_LP,2077.0,635.0,SCGNIN,SCGNIN
CELL.5107,CELL.5107,2,Injury_15DPI_rep2_FP200000266TR_E2,5107,4,SFRP1RGC,inj,D,inj_D_LP,2076.0,926.0,SFRPRGC,SFRPEGC
CELL.5108,CELL.5108,4,Injury_15DPI_rep2_FP200000266TR_E2,5108,0,DPEX,inj,V,NO,2080.0,2321.0,DPEX,DPEX
CELL.5109,CELL.5109,3,Injury_15DPI_rep2_FP200000266TR_E2,5109,3,DMIN,uninj,D,NO,2078.0,4825.0,MSN,MSN
CELL.5110,CELL.5110,3,Injury_15DPI_rep2_FP200000266TR_E2,5110,3,DMIN,uninj,D,NO,2075.0,5035.0,MSN,MSN
CELL.5111,CELL.5111,8,Injury_15DPI_rep2_FP200000266TR_E2,5111,7,OBNBL,uninj,D,NO,2079.0,5218.0,OBNBL,OBNBL
CELL.5112,CELL.5112,0,Injury_15DPI_rep2_FP200000266TR_E2,5112,1,VLMC,inj,D,inj_D_LP,2079.0,250.0,VLMC,VLMC
CELL.5113,CELL.5113,4,Injury_15DPI_rep2_FP200000266TR_E2,5113,0,MPEX,inj,V,NO,2084.0,1798.0,MPEX,MPEX
CELL.5114,CELL.5114,4,Injury_15DPI_rep2_FP200000266TR_E2,5114,0,MPEX,inj,V,NO,2081.0,1674.0,MPEX,MPEX
CELL.5115,CELL.5115,4,Injury_15DPI_rep2_FP200000266TR_E2,5115,0,DPEX,inj,V,NO,2081.0,2367.0,DPEX,DPEX
CELL.5116,CELL.5116,8,Injury_15DPI_rep2_FP200000266TR_E2,5116,7,OBNBL,uninj,D,NO,2080.0,5303.0,OBNBL,OBNBL
CELL.5117,CELL.5117,0,Injury_15DPI_rep2_FP200000266TR_E2,5117,9,VLMC,inj,D,inj_D_LP,2079.0,92.0,VLMC,VLMC
CELL.5118,CELL.5118,3,Injury_15DPI_rep2_FP200000266TR_E2,5118,3,DMIN,inj,D,inj_D_LP,2082.0,685.0,MSN,MSN
CELL.5119,CELL.5119,2,Injury_15DPI_rep2_FP200000266TR_E2,5119,6,WNTRGC,uninj,D,NO,2081.0,4103.0,WNTRGC,WNTEGC
CELL.5120,CELL.5120,8,Injury_15DPI_rep2_FP200000266TR_E2,5120,7,OBNBL,uninj,D,NO,2081.0,5341.0,OBNBL,OBNBL
CELL.5121,CELL.5121,8,Injury_15DPI_rep2_FP200000266TR_E2,5121,1,VLMC,inj,D,inj_D_LP,2083.0,172.0,VLMC,VLMC
CELL.5122,CELL.5122,4,Injury_15DPI_rep2_FP200000266TR_E2,5122,0,DPEX,inj,V,NO,2079.0,1467.0,DPEX,DPEX
CELL.5123,CELL.5123,4,Injury_15DPI_rep2_FP200000266TR_E2,5123,0,MPEX,uninj,V,NO,2079.0,3754.0,MPEX,MPEX
CELL.5124,CELL.5124,2,Injury_15DPI_rep2_FP200000266TR_E2,5124,4,SFRP1RGC,uninj,D,NO,2078.0,4742.0,SFRPRGC,SFRPEGC
CELL.5125,CELL.5125,2,Injury_15DPI_rep2_FP200000266TR_E2,5125,4,SFRP1RGC,uninj,D,NO,2082.0,4771.0,SFRPRGC,SFRPEGC
CELL.5127,CELL.5127,0,Injury_15DPI_rep2_FP200000266TR_E2,5127,13,IMC,inj,V,NO,2085.0,1247.0,Microglia,MCG
CELL.5128,CELL.5128,2,Injury_15DPI_rep2_FP200000266TR_E2,5128,4,SFRP1RGC,inj,V,NO,2086.0,1102.0,SFRPRGC,SFRPEGC
CELL.5129,CELL.5129,4,Injury_15DPI_rep2_FP200000266TR_E2,5129,0,MPEX,uninj,V,NO,2090.0,3619.0,MPEX,MPEX
CELL.5130,CELL.5130,0,Injury_15DPI_rep2_FP200000266TR_E2,5130,9,VLMC,uninj,D,NO,2083.0,5794.0,VLMC,VLMC
CELL.5131,CELL.5131,0,Injury_15DPI_rep2_FP200000266TR_E2,5131,1,VLMC,inj,D,inj_D_LP,2086.0,225.0,VLMC,VLMC
CELL.5132,CELL.5132,2,Injury_15DPI_rep2_FP200000266TR_E2,5132,4,SFRP1RGC,inj,D,inj_D_LP,2087.0,783.0,SFRPRGC,SFRPEGC
CELL.5133,CELL.5133,2,Injury_15DPI_rep2_FP200000266TR_E2,5133,4,SFRP1RGC,inj,D,inj_D_LP,2088.0,808.0,SFRPRGC,SFRPEGC
CELL.5134,CELL.5134,2,Injury_15DPI_rep2_FP200000266TR_E2,5134,4,SFRP1RGC,inj,D,inj_D_LP,2090.0,998.0,SFRPRGC,SFRPEGC
CELL.5135,CELL.5135,4,Injury_15DPI_rep2_FP200000266TR_E2,5135,0,DPEX,inj,V,NO,2084.0,1548.0,DPEX,DPEX
CELL.5136,CELL.5136,8,Injury_15DPI_rep2_FP200000266TR_E2,5136,1,VLMC,inj,D,inj_D_LP,2091.0,197.0,VLMC,VLMC
CELL.5137,CELL.5137,4,Injury_15DPI_rep2_FP200000266TR_E2,5137,0,MPEX,uninj,V,NO,2088.0,3855.0,MPEX,MPEX
CELL.5138,CELL.5138,11,Injury_15DPI_rep2_FP200000266TR_E2,5138,0,DPEX,uninj,V,NO,2088.0,3894.0,DPEX,DPEX
CELL.5139,CELL.5139,3,Injury_15DPI_rep2_FP200000266TR_E2,5139,3,DMIN,uninj,D,NO,2090.0,5066.0,MSN,MSN
CELL.5140,CELL.5140,2,Injury_15DPI_rep2_FP200000266TR_E2,5140,11,DMIN,inj,D,inj_D_LP,2087.0,736.0,REARGC,REAEGC
CELL.5141,CELL.5141,3,Injury_15DPI_rep2_FP200000266TR_E2,5141,3,DMIN,uninj,D,NO,2085.0,4969.0,MSN,MSN
CELL.5142,CELL.5142,3,Injury_15DPI_rep2_FP200000266TR_E2,5142,14,SCGNIN,inj,D,inj_D_LP,2096.0,409.0,SCGNIN,SCGNIN
CELL.5143,CELL.5143,2,Injury_15DPI_rep2_FP200000266TR_E2,5143,11,DMIN,inj,D,inj_D_LP,2099.0,837.0,REARGC,REAEGC
CELL.5144,CELL.5144,0,Injury_15DPI_rep2_FP200000266TR_E2,5144,1,VLMC,inj,V,NO,2095.0,1212.0,VLMC,VLMC
CELL.5145,CELL.5145,4,Injury_15DPI_rep2_FP200000266TR_E2,5145,0,MPEX,inj,V,NO,2084.0,1576.0,MPEX,MPEX
CELL.5147,CELL.5147,3,Injury_15DPI_rep2_FP200000266TR_E2,5147,8,SSTIN,inj,D,inj_D_LP,2084.0,588.0,SSTIN,SSTIN
CELL.5148,CELL.5148,2,Injury_15DPI_rep2_FP200000266TR_E2,5148,16,REARGC,inj,D,inj_D_LP,2096.0,760.0,REARGC,REAEGC
CELL.5149,CELL.5149,4,Injury_15DPI_rep2_FP200000266TR_E2,5149,0,MPEX,uninj,V,NO,2093.0,3812.0,MPEX,MPEX
CELL.5151,CELL.5151,0,Injury_15DPI_rep2_FP200000266TR_E2,5151,9,VLMC,inj,D,inj_D_LP,2100.0,120.0,VLMC,VLMC
CELL.5152,CELL.5152,4,Injury_15DPI_rep2_FP200000266TR_E2,5152,0,MPEX,inj,V,NO,2101.0,1744.0,MPEX,MPEX
CELL.5153,CELL.5153,0,Injury_15DPI_rep2_FP200000266TR_E2,5153,1,CP,inj,V,NO,2100.0,2123.0,VLMC,VLMC
CELL.5154,CELL.5154,2,Injury_15DPI_rep2_FP200000266TR_E2,5154,4,SFRP1RGC,inj,D,inj_D_LP,2095.0,894.0,SFRPRGC,SFRPEGC
CELL.5156,CELL.5156,3,Injury_15DPI_rep2_FP200000266TR_E2,5156,3,DMIN,uninj,D,NO,2097.0,5010.0,MSN,MSN
CELL.5157,CELL.5157,2,Injury_15DPI_rep2_FP200000266TR_E2,5157,11,DMIN,inj,D,inj_D_LP,2098.0,858.0,REARGC,REAEGC
CELL.5158,CELL.5158,4,Injury_15DPI_rep2_FP200000266TR_E2,5158,0,MPEX,inj,V,NO,2094.0,1643.0,MPEX,MPEX
CELL.5160,CELL.5160,4,Injury_15DPI_rep2_FP200000266TR_E2,5160,0,DPEX,uninj,V,NO,2098.0,3389.0,DPEX,DPEX
CELL.5161,CELL.5161,8,Injury_15DPI_rep2_FP200000266TR_E2,5161,7,OBNBL,uninj,D,NO,2095.0,5186.0,OBNBL,OBNBL
CELL.5162,CELL.5162,3,Injury_15DPI_rep2_FP200000266TR_E2,5162,14,SCGNIN,inj,D,inj_D_LP,2101.0,379.0,SCGNIN,SCGNIN
CELL.5164,CELL.5164,4,Injury_15DPI_rep2_FP200000266TR_E2,5164,0,DPEX,uninj,V,NO,2095.0,3506.0,MPEX,MPEX
CELL.5165,CELL.5165,4,Injury_15DPI_rep2_FP200000266TR_E2,5165,0,MPEX,uninj,V,NO,2096.0,3688.0,MPEX,MPEX
CELL.5166,CELL.5166,4,Injury_15DPI_rep2_FP200000266TR_E2,5166,0,MPEX,uninj,D,NO,2099.0,3938.0,MPEX,MPEX
CELL.5167,CELL.5167,2,Injury_15DPI_rep2_FP200000266TR_E2,5167,6,WNTRGC,uninj,D,NO,2096.0,4047.0,WNTRGC,WNTEGC
CELL.5168,CELL.5168,3,Injury_15DPI_rep2_FP200000266TR_E2,5168,4,SFRP1RGC,uninj,D,NO,2112.0,4849.0,SFRPRGC,SFRPEGC
CELL.5169,CELL.5169,3,Injury_15DPI_rep2_FP200000266TR_E2,5169,2,CMPN,uninj,D,NO,2098.0,4872.0,SFRPRGC,SFRPEGC
CELL.5170,CELL.5170,8,Injury_15DPI_rep2_FP200000266TR_E2,5170,7,OBNBL,uninj,D,NO,2100.0,5302.0,OBNBL,OBNBL
CELL.5171,CELL.5171,2,Injury_15DPI_rep2_FP200000266TR_E2,5171,6,WNTRGC,uninj,D,NO,2102.0,4073.0,WNTRGC,WNTEGC
CELL.5172,CELL.5172,3,Injury_15DPI_rep2_FP200000266TR_E2,5172,7,OBNBL,uninj,D,NO,2102.0,5102.0,OBNBL,OBNBL
CELL.5173,CELL.5173,3,Injury_15DPI_rep2_FP200000266TR_E2,5173,3,DMIN,inj,D,inj_D_LP,2099.0,353.0,MSN,MSN
CELL.5174,CELL.5174,12,Injury_15DPI_rep2_FP200000266TR_E2,5174,16,REARGC,inj,V,NO,2097.0,1430.0,REARGC,REAEGC
CELL.5175,CELL.5175,3,Injury_15DPI_rep2_FP200000266TR_E2,5175,4,SFRP1RGC,uninj,D,NO,2110.0,4825.0,SFRPRGC,SFRPEGC
CELL.5177,CELL.5177,1,Injury_15DPI_rep2_FP200000266TR_E2,5177,0,DPEX,inj,V,NO,2105.0,2026.0,DPEX,DPEX
CELL.5179,CELL.5179,3,Injury_15DPI_rep2_FP200000266TR_E2,5179,3,DMIN,inj,D,inj_D_LP,2099.0,467.0,MSN,MSN
CELL.5180,CELL.5180,4,Injury_15DPI_rep2_FP200000266TR_E2,5180,0,MPEX,inj,V,NO,2100.0,1481.0,MPEX,MPEX
CELL.5181,CELL.5181,4,Injury_15DPI_rep2_FP200000266TR_E2,5181,0,MPEX,inj,V,NO,2093.0,1616.0,MPEX,MPEX
CELL.5182,CELL.5182,4,Injury_15DPI_rep2_FP200000266TR_E2,5182,0,MPEX,inj,V,NO,2100.0,1931.0,MPEX,MPEX
CELL.5183,CELL.5183,4,Injury_15DPI_rep2_FP200000266TR_E2,5183,0,MPEX,uninj,V,NO,2106.0,3798.0,MPEX,MPEX
CELL.5184,CELL.5184,0,Injury_15DPI_rep2_FP200000266TR_E2,5184,1,CP,uninj,D,NO,2107.0,5796.0,VLMC,VLMC
CELL.5185,CELL.5185,8,Injury_15DPI_rep2_FP200000266TR_E2,5185,1,CP,inj,D,inj_D_LP,2108.0,226.0,VLMC,VLMC
CELL.5186,CELL.5186,3,Injury_15DPI_rep2_FP200000266TR_E2,5186,3,DMIN,inj,D,inj_D_LP,2108.0,637.0,MSN,MSN
CELL.5187,CELL.5187,2,Injury_15DPI_rep2_FP200000266TR_E2,5187,11,DMIN,inj,D,inj_D_LP,2112.0,1015.0,REARGC,REAEGC
CELL.5188,CELL.5188,2,Injury_15DPI_rep2_FP200000266TR_E2,5188,6,WNTRGC,inj,V,NO,2105.0,1384.0,WNTRGC,WNTEGC
CELL.5189,CELL.5189,4,Injury_15DPI_rep2_FP200000266TR_E2,5189,0,DPEX,uninj,V,NO,2094.0,3578.0,DPEX,DPEX
CELL.5190,CELL.5190,3,Injury_15DPI_rep2_FP200000266TR_E2,5190,14,SCGNIN,uninj,D,NO,2105.0,5034.0,SCGNIN,SCGNIN
CELL.5191,CELL.5191,2,Injury_15DPI_rep2_FP200000266TR_E2,5191,4,SFRP1RGC,inj,D,inj_D_LP,2109.0,1067.0,SFRPRGC,SFRPEGC
CELL.5192,CELL.5192,4,Injury_15DPI_rep2_FP200000266TR_E2,5192,0,DPEX,inj,V,NO,2108.0,1547.0,DPEX,DPEX
CELL.5194,CELL.5194,8,Injury_15DPI_rep2_FP200000266TR_E2,5194,7,OBNBL,uninj,D,NO,2100.0,5211.0,OBNBL,OBNBL
CELL.5195,CELL.5195,8,Injury_15DPI_rep2_FP200000266TR_E2,5195,7,OBNBL,inj,D,inj_D_LP,2109.0,154.0,OBNBL,OBNBL
CELL.5196,CELL.5196,3,Injury_15DPI_rep2_FP200000266TR_E2,5196,3,Unknown,inj,D,inj_D_LP,2110.0,272.0,VLMC,VLMC
CELL.5197,CELL.5197,2,Injury_15DPI_rep2_FP200000266TR_E2,5197,4,SFRP1RGC,inj,D,inj_D_LP,2098.0,964.0,SFRPRGC,SFRPEGC
CELL.5198,CELL.5198,4,Injury_15DPI_rep2_FP200000266TR_E2,5198,0,DPEX,inj,V,NO,2105.0,1511.0,DPEX,DPEX
CELL.5199,CELL.5199,8,Injury_15DPI_rep2_FP200000266TR_E2,5199,7,OBNBL,inj,D,inj_D_LP,2109.0,436.0,OBNBL,OBNBL
CELL.5200,CELL.5200,2,Injury_15DPI_rep2_FP200000266TR_E2,5200,4,SFRP1RGC,inj,D,inj_D_LP,2110.0,1100.0,SFRPRGC,SFRPEGC
CELL.5201,CELL.5201,0,Injury_15DPI_rep2_FP200000266TR_E2,5201,1,VLMC,uninj,D,NO,2122.0,5814.0,VLMC,VLMC
CELL.5202,CELL.5202,4,Injury_15DPI_rep2_FP200000266TR_E2,5202,0,MPEX,uninj,V,NO,2109.0,3558.0,MPEX,MPEX
CELL.5203,CELL.5203,2,Injury_15DPI_rep2_FP200000266TR_E2,5203,11,DMIN,inj,D,inj_D_LP,2105.0,711.0,REARGC,REAEGC
CELL.5204,CELL.5204,2,Injury_15DPI_rep2_FP200000266TR_E2,5204,4,SFRP1RGC,inj,D,inj_D_LP,2110.0,941.0,SFRPRGC,SFRPEGC
CELL.5206,CELL.5206,4,Injury_15DPI_rep2_FP200000266TR_E2,5206,0,MPEX,uninj,V,NO,2110.0,3837.0,MPEX,MPEX
CELL.5207,CELL.5207,4,Injury_15DPI_rep2_FP200000266TR_E2,5207,0,MPEX,inj,V,NO,2114.0,1702.0,MPEX,MPEX
CELL.5208,CELL.5208,4,Injury_15DPI_rep2_FP200000266TR_E2,5208,0,DPEX,uninj,D,NO,2107.0,3915.0,DPEX,DPEX
CELL.5209,CELL.5209,3,Injury_15DPI_rep2_FP200000266TR_E2,5209,7,OBNBL,uninj,D,NO,2103.0,4980.0,OBNBL,OBNBL
CELL.5210,CELL.5210,8,Injury_15DPI_rep2_FP200000266TR_E2,5210,7,OBNBL,uninj,D,NO,2115.0,5376.0,OBNBL,OBNBL
CELL.5211,CELL.5211,0,Injury_15DPI_rep2_FP200000266TR_E2,5211,1,VLMC,uninj,D,NO,2111.0,5850.0,VLMC,VLMC
CELL.5213,CELL.5213,4,Injury_15DPI_rep2_FP200000266TR_E2,5213,0,MPEX,uninj,D,NO,2107.0,4004.0,MPEX,MPEX
CELL.5214,CELL.5214,3,Injury_15DPI_rep2_FP200000266TR_E2,5214,3,DMIN,uninj,D,NO,2113.0,5132.0,MSN,MSN
CELL.5215,CELL.5215,8,Injury_15DPI_rep2_FP200000266TR_E2,5215,7,OBNBL,uninj,D,NO,2112.0,5271.0,OBNBL,OBNBL
CELL.5217,CELL.5217,2,Injury_15DPI_rep2_FP200000266TR_E2,5217,4,SFRP1RGC,inj,D,inj_D_LP,2114.0,1045.0,SFRPRGC,SFRPEGC
CELL.5218,CELL.5218,3,Injury_15DPI_rep2_FP200000266TR_E2,5218,8,SSTIN,inj,D,inj_D_LP,2114.0,609.0,SSTIN,SSTIN
CELL.5219,CELL.5219,0,Injury_15DPI_rep2_FP200000266TR_E2,5219,1,VLMC,uninj,D,NO,2114.0,4468.0,VLMC,VLMC
CELL.5221,CELL.5221,3,Injury_15DPI_rep2_FP200000266TR_E2,5221,3,DMIN,uninj,D,NO,2110.0,4908.0,MSN,MSN
CELL.5223,CELL.5223,3,Injury_15DPI_rep2_FP200000266TR_E2,5223,3,DMIN,inj,D,inj_D_LP,2103.0,662.0,MSN,MSN
CELL.5225,CELL.5225,3,Injury_15DPI_rep2_FP200000266TR_E2,5225,3,DMIN,inj,D,inj_D_LP,2116.0,684.0,MSN,MSN
CELL.5226,CELL.5226,2,Injury_15DPI_rep2_FP200000266TR_E2,5226,4,SFRP1RGC,inj,D,inj_D_LP,2118.0,874.0,SFRPRGC,SFRPEGC
CELL.5227,CELL.5227,3,Injury_15DPI_rep2_FP200000266TR_E2,5227,4,SFRP1RGC,uninj,D,NO,2117.0,4795.0,SFRPRGC,SFRPEGC
CELL.5228,CELL.5228,2,Injury_15DPI_rep2_FP200000266TR_E2,5228,4,SFRP1RGC,inj,D,inj_D_LP,2114.0,795.0,SFRPRGC,SFRPEGC
CELL.5229,CELL.5229,12,Injury_15DPI_rep2_FP200000266TR_E2,5229,16,REARGC,inj,V,NO,2116.0,1453.0,REARGC,REAEGC
CELL.5230,CELL.5230,4,Injury_15DPI_rep2_FP200000266TR_E2,5230,0,MPEX,inj,V,NO,2128.0,1801.0,MPEX,MPEX
CELL.5231,CELL.5231,4,Injury_15DPI_rep2_FP200000266TR_E2,5231,0,MPEX,uninj,V,NO,2116.0,3609.0,MPEX,MPEX
CELL.5232,CELL.5232,0,Injury_15DPI_rep2_FP200000266TR_E2,5232,9,VLMC,inj,D,inj_D_LP,2119.0,68.0,VLMC,VLMC
CELL.5234,CELL.5234,8,Injury_15DPI_rep2_FP200000266TR_E2,5234,7,OBNBL,inj,D,inj_D_LP,2121.0,191.0,OBNBL,OBNBL
CELL.5236,CELL.5236,4,Injury_15DPI_rep2_FP200000266TR_E2,5236,0,MPEX,uninj,V,NO,2126.0,3502.0,MPEX,MPEX
CELL.5237,CELL.5237,4,Injury_15DPI_rep2_FP200000266TR_E2,5237,0,MPEX,uninj,V,NO,2123.0,3696.0,MPEX,MPEX
CELL.5238,CELL.5238,2,Injury_15DPI_rep2_FP200000266TR_E2,5238,4,SFRP1RGC,inj,D,inj_D_LP,2123.0,1116.0,SFRPRGC,SFRPEGC
CELL.5239,CELL.5239,4,Injury_15DPI_rep2_FP200000266TR_E2,5239,0,MPEX,inj,V,NO,2120.0,1838.0,MPEX,MPEX
CELL.5242,CELL.5242,2,Injury_15DPI_rep2_FP200000266TR_E2,5242,4,SFRP1RGC,uninj,D,NO,2129.0,4699.0,SFRPRGC,SFRPEGC
CELL.5243,CELL.5243,3,Injury_15DPI_rep2_FP200000266TR_E2,5243,3,DMIN,inj,D,inj_D_LP,2126.0,356.0,MSN,MSN
CELL.5244,CELL.5244,3,Injury_15DPI_rep2_FP200000266TR_E2,5244,3,DMIN,inj,D,inj_D_LP,2121.0,492.0,MSN,MSN
CELL.5246,CELL.5246,2,Injury_15DPI_rep2_FP200000266TR_E2,5246,6,WNTRGC,uninj,D,NO,2128.0,4074.0,WNTRGC,WNTEGC
CELL.5247,CELL.5247,3,Injury_15DPI_rep2_FP200000266TR_E2,5247,3,DMIN,inj,D,inj_D_LP,2128.0,406.0,MSN,MSN
CELL.5248,CELL.5248,3,Injury_15DPI_rep2_FP200000266TR_E2,5248,3,DMIN,inj,D,inj_D_LP,2130.0,573.0,MSN,MSN
CELL.5249,CELL.5249,2,Injury_15DPI_rep2_FP200000266TR_E2,5249,4,DMIN,inj,D,inj_D_LP,2128.0,966.0,REARGC,REAEGC
CELL.5250,CELL.5250,2,Injury_15DPI_rep2_FP200000266TR_E2,5250,4,SFRP1RGC,inj,D,inj_D_LP,2131.0,938.0,SFRPRGC,SFRPEGC
CELL.5252,CELL.5252,4,Injury_15DPI_rep2_FP200000266TR_E2,5252,0,DPEX,uninj,V,NO,2129.0,3538.0,DPEX,DPEX
CELL.5253,CELL.5253,3,Injury_15DPI_rep2_FP200000266TR_E2,5253,3,DMIN,uninj,D,NO,2125.0,4989.0,MSN,MSN
CELL.5254,CELL.5254,2,Injury_15DPI_rep2_FP200000266TR_E2,5254,11,DMIN,inj,D,inj_D_LP,2128.0,833.0,REARGC,REAEGC
CELL.5255,CELL.5255,8,Injury_15DPI_rep2_FP200000266TR_E2,5255,7,OBNBL,uninj,D,NO,2128.0,5244.0,OBNBL,OBNBL
CELL.5256,CELL.5256,1,Injury_15DPI_rep2_FP200000266TR_E2,5256,1,CP,inj,D,inj_D_LP,2129.0,233.0,VLMC,VLMC
CELL.5257,CELL.5257,2,Injury_15DPI_rep2_FP200000266TR_E2,5257,11,DMIN,inj,D,inj_D_LP,2124.0,736.0,REARGC,REAEGC
CELL.5258,CELL.5258,3,Injury_15DPI_rep2_FP200000266TR_E2,5258,3,DMIN,inj,D,inj_D_LP,2127.0,778.0,MSN,MSN
CELL.5259,CELL.5259,3,Injury_15DPI_rep2_FP200000266TR_E2,5259,3,DMIN,inj,D,inj_D_LP,2135.0,455.0,MSN,MSN
CELL.5260,CELL.5260,3,Injury_15DPI_rep2_FP200000266TR_E2,5260,3,DMIN,inj,D,inj_D_LP,2136.0,659.0,MSN,MSN
CELL.5261,CELL.5261,3,Injury_15DPI_rep2_FP200000266TR_E2,5261,3,DMIN,inj,D,inj_D_LP,2130.0,756.0,MSN,MSN
CELL.5262,CELL.5262,2,Injury_15DPI_rep2_FP200000266TR_E2,5262,4,SFRP1RGC,inj,D,inj_D_LP,2131.0,1027.0,SFRPRGC,SFRPEGC
CELL.5263,CELL.5263,4,Injury_15DPI_rep2_FP200000266TR_E2,5263,0,DPEX,inj,V,NO,2131.0,1923.0,DPEX,DPEX
CELL.5264,CELL.5264,4,Injury_15DPI_rep2_FP200000266TR_E2,5264,0,DPEX,inj,V,NO,2137.0,2186.0,DPEX,DPEX
CELL.5265,CELL.5265,4,Injury_15DPI_rep2_FP200000266TR_E2,5265,0,DPEX,inj,V,NO,2127.0,2300.0,DPEX,DPEX
CELL.5266,CELL.5266,0,Injury_15DPI_rep2_FP200000266TR_E2,5266,1,VLMC,uninj,D,NO,2136.0,4373.0,VLMC,VLMC
CELL.5267,CELL.5267,3,Injury_15DPI_rep2_FP200000266TR_E2,5267,14,SCGNIN,uninj,D,NO,2144.0,4881.0,SCGNIN,SCGNIN
CELL.5270,CELL.5270,4,Injury_15DPI_rep2_FP200000266TR_E2,5270,0,MPEX,inj,V,NO,2145.0,1624.0,MPEX,MPEX
CELL.5271,CELL.5271,4,Injury_15DPI_rep2_FP200000266TR_E2,5271,0,MPEX,uninj,D,NO,2151.0,4038.0,MPEX,MPEX
CELL.5272,CELL.5272,8,Injury_15DPI_rep2_FP200000266TR_E2,5272,7,OBNBL,uninj,D,NO,2134.0,5351.0,OBNBL,OBNBL
CELL.5273,CELL.5273,12,Injury_15DPI_rep2_FP200000266TR_E2,5273,16,REARGC,inj,V,NO,2133.0,1409.0,REARGC,REAEGC
CELL.5274,CELL.5274,3,Injury_15DPI_rep2_FP200000266TR_E2,5274,3,DMIN,uninj,D,NO,2133.0,5131.0,MSN,MSN
CELL.5275,CELL.5275,8,Injury_15DPI_rep2_FP200000266TR_E2,5275,7,OBNBL,inj,D,inj_D_LP,2132.0,166.0,OBNBL,OBNBL
CELL.5276,CELL.5276,2,Injury_15DPI_rep2_FP200000266TR_E2,5276,4,SFRP1RGC,inj,D,inj_D_LP,2140.0,874.0,SFRPRGC,SFRPEGC
CELL.5277,CELL.5277,2,Injury_15DPI_rep2_FP200000266TR_E2,5277,4,SFRP1RGC,inj,D,inj_D_LP,2136.0,1067.0,SFRPRGC,SFRPEGC
CELL.5278,CELL.5278,4,Injury_15DPI_rep2_FP200000266TR_E2,5278,8,SSTIN,inj,V,NO,2138.0,1576.0,SSTIN,SSTIN
CELL.5279,CELL.5279,3,Injury_15DPI_rep2_FP200000266TR_E2,5279,3,DMIN,uninj,D,NO,2132.0,4949.0,MSN,MSN
CELL.5280,CELL.5280,3,Injury_15DPI_rep2_FP200000266TR_E2,5280,3,DMIN,uninj,D,NO,2139.0,5039.0,MSN,MSN
CELL.5282,CELL.5282,4,Injury_15DPI_rep2_FP200000266TR_E2,5282,6,WNTRGC,uninj,D,NO,2146.0,4019.0,WNTRGC,WNTEGC
CELL.5283,CELL.5283,3,Injury_15DPI_rep2_FP200000266TR_E2,5283,11,DMIN,inj,D,inj_D_LP,2142.0,704.0,REARGC,REAEGC
CELL.5284,CELL.5284,2,Injury_15DPI_rep2_FP200000266TR_E2,5284,4,SFRP1RGC,inj,D,inj_D_LP,2140.0,1111.0,SFRPRGC,SFRPEGC
CELL.5285,CELL.5285,2,Injury_15DPI_rep2_FP200000266TR_E2,5285,6,WNTRGC,inj,V,NO,2137.0,1368.0,WNTRGC,WNTEGC
CELL.5286,CELL.5286,4,Injury_15DPI_rep2_FP200000266TR_E2,5286,0,MPEX,inj,V,NO,2138.0,1737.0,MPEX,MPEX
CELL.5287,CELL.5287,0,Injury_15DPI_rep2_FP200000266TR_E2,5287,9,VLMC,inj,V,NO,2146.0,2573.0,VLMC,VLMC
CELL.5289,CELL.5289,11,Injury_15DPI_rep2_FP200000266TR_E2,5289,3,DMIN,uninj,D,NO,2139.0,4967.0,MSN,MSN
CELL.5290,CELL.5290,3,Injury_15DPI_rep2_FP200000266TR_E2,5290,3,DMIN,inj,D,inj_D_LP,2141.0,680.0,MSN,MSN
CELL.5291,CELL.5291,2,Injury_15DPI_rep2_FP200000266TR_E2,5291,4,SFRP1RGC,inj,D,inj_D_LP,2142.0,1004.0,SFRPRGC,SFRPEGC
CELL.5292,CELL.5292,2,Injury_15DPI_rep2_FP200000266TR_E2,5292,4,DMIN,inj,D,inj_D_LP,2140.0,1049.0,REARGC,REAEGC
CELL.5294,CELL.5294,3,Injury_15DPI_rep2_FP200000266TR_E2,5294,4,SFRP1RGC,uninj,D,NO,2139.0,4853.0,SFRPRGC,SFRPEGC
CELL.5295,CELL.5295,3,Injury_15DPI_rep2_FP200000266TR_E2,5295,3,DMIN,inj,D,inj_D_LP,2141.0,340.0,MSN,MSN
