,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.4242,CELL.4242,8,Injury_2DPI_rep1_SS200000147BL_D5,4242,14,8046.0,3913.0,uninj,V,NO,OLIGO,OLIGO
CELL.4243,CELL.4243,8,Injury_2DPI_rep1_SS200000147BL_D5,4243,3,8046.0,1892.0,uninj,D,NO,VLMC,VLMC
CELL.4244,CELL.4244,8,Injury_2DPI_rep1_SS200000147BL_D5,4244,3,8045.0,2951.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.4245,CELL.4245,8,Injury_2DPI_rep1_SS200000147BL_D5,4245,3,8044.0,3072.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.4246,CELL.4246,3,Injury_2DPI_rep1_SS200000147BL_D5,4246,6,8046.0,3447.0,uninj,V,NO,SSTIN,SSTIN
CELL.4250,CELL.4250,0,Injury_2DPI_rep1_SS200000147BL_D5,4250,6,8062.0,2376.0,uninj,D,NO,SSTIN,SSTIN
CELL.4251,CELL.4251,3,Injury_2DPI_rep1_SS200000147BL_D5,4251,3,8064.0,2681.0,uninj,D,NO,DPEX,DPEX
CELL.4252,CELL.4252,0,Injury_2DPI_rep1_SS200000147BL_D5,4252,14,8062.0,3938.0,uninj,V,NO,OLIGO,OLIGO
CELL.4253,CELL.4253,3,Injury_2DPI_rep1_SS200000147BL_D5,4253,6,8058.0,2273.0,uninj,D,NO,SSTIN,SSTIN
CELL.4255,CELL.4255,3,Injury_2DPI_rep1_SS200000147BL_D5,4255,2,8063.0,3784.0,uninj,V,NO,VLMC,VLMC
CELL.4257,CELL.4257,0,Injury_2DPI_rep1_SS200000147BL_D5,4257,3,8065.0,3117.0,uninj,D,NO,CMPN,CMPN
CELL.4258,CELL.4258,3,Injury_2DPI_rep1_SS200000147BL_D5,4258,6,8068.0,3804.0,uninj,V,NO,MPIN,MPIN
CELL.4259,CELL.4259,3,Injury_2DPI_rep1_SS200000147BL_D5,4259,3,8066.0,3870.0,uninj,V,NO,NPTXEX,NPTXEX
CELL.4260,CELL.4260,7,Injury_2DPI_rep1_SS200000147BL_D5,4260,6,8068.0,2170.0,uninj,D,NO,MPIN,MPIN
CELL.4262,CELL.4262,8,Injury_2DPI_rep1_SS200000147BL_D5,4262,6,8068.0,2567.0,uninj,D,NO,SSTIN,SSTIN
CELL.4263,CELL.4263,3,Injury_2DPI_rep1_SS200000147BL_D5,4263,6,8073.0,2741.0,uninj,D,NO,SSTIN,SSTIN
CELL.4264,CELL.4264,0,Injury_2DPI_rep1_SS200000147BL_D5,4264,2,8075.0,4929.0,uninj,V,NO,VLMC,VLMC
CELL.4266,CELL.4266,7,Injury_2DPI_rep1_SS200000147BL_D5,4266,6,8076.0,2830.0,uninj,D,NO,SSTIN,SSTIN
CELL.4267,CELL.4267,3,Injury_2DPI_rep1_SS200000147BL_D5,4267,1,8074.0,3387.0,uninj,V,NO,DPEX,DPEX
CELL.4269,CELL.4269,8,Injury_2DPI_rep1_SS200000147BL_D5,4269,3,8081.0,1672.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.4271,CELL.4271,3,Injury_2DPI_rep1_SS200000147BL_D5,4271,6,8080.0,2866.0,uninj,D,NO,SSTIN,SSTIN
CELL.4272,CELL.4272,8,Injury_2DPI_rep1_SS200000147BL_D5,4272,3,8080.0,4006.0,uninj,V,NO,DPEX,DPEX
CELL.4273,CELL.4273,0,Injury_2DPI_rep1_SS200000147BL_D5,4273,2,8080.0,4231.0,uninj,V,NO,VLMC,VLMC
CELL.4274,CELL.4274,0,Injury_2DPI_rep1_SS200000147BL_D5,4274,9,8078.0,1360.0,uninj,D,NO,VLMC,VLMC
CELL.4275,CELL.4275,0,Injury_2DPI_rep1_SS200000147BL_D5,4275,3,8084.0,2425.0,uninj,D,NO,DPEX,DPEX
CELL.4276,CELL.4276,3,Injury_2DPI_rep1_SS200000147BL_D5,4276,6,8079.0,2910.0,uninj,D,NO,SSTIN,SSTIN
CELL.4277,CELL.4277,3,Injury_2DPI_rep1_SS200000147BL_D5,4277,1,8079.0,2944.0,uninj,D,NO,DPEX,DPEX
CELL.4278,CELL.4278,3,Injury_2DPI_rep1_SS200000147BL_D5,4278,3,8082.0,2601.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.4279,CELL.4279,7,Injury_2DPI_rep1_SS200000147BL_D5,4279,6,8089.0,2533.0,uninj,D,NO,SSTIN,SSTIN
CELL.4280,CELL.4280,0,Injury_2DPI_rep1_SS200000147BL_D5,4280,2,8081.0,4976.0,uninj,V,NO,VLMC,VLMC
CELL.4281,CELL.4281,0,Injury_2DPI_rep1_SS200000147BL_D5,4281,1,8087.0,2972.0,uninj,D,NO,DPEX,DPEX
CELL.4283,CELL.4283,3,Injury_2DPI_rep1_SS200000147BL_D5,4283,6,8090.0,3270.0,uninj,V,NO,MPIN,MPIN
CELL.4284,CELL.4284,8,Injury_2DPI_rep1_SS200000147BL_D5,4284,6,8094.0,1994.0,uninj,D,NO,SSTIN,SSTIN
CELL.4285,CELL.4285,3,Injury_2DPI_rep1_SS200000147BL_D5,4285,6,8093.0,2054.0,uninj,D,NO,SSTIN,SSTIN
CELL.4287,CELL.4287,0,Injury_2DPI_rep1_SS200000147BL_D5,4287,6,8093.0,2296.0,uninj,D,NO,SSTIN,SSTIN
CELL.4288,CELL.4288,7,Injury_2DPI_rep1_SS200000147BL_D5,4288,6,8097.0,2135.0,uninj,D,NO,MPIN,MPIN
CELL.4289,CELL.4289,0,Injury_2DPI_rep1_SS200000147BL_D5,4289,3,8096.0,3443.0,uninj,V,NO,VLMC,VLMC
CELL.4291,CELL.4291,0,Injury_2DPI_rep1_SS200000147BL_D5,4291,9,8101.0,4812.0,uninj,V,NO,VLMC,VLMC
CELL.4294,CELL.4294,3,Injury_2DPI_rep1_SS200000147BL_D5,4294,6,8111.0,2027.0,uninj,D,NO,SSTIN,SSTIN
CELL.4295,CELL.4295,3,Injury_2DPI_rep1_SS200000147BL_D5,4295,6,8108.0,2326.0,uninj,D,NO,SSTIN,SSTIN
CELL.4296,CELL.4296,0,Injury_2DPI_rep1_SS200000147BL_D5,4296,6,8109.0,2246.0,uninj,D,NO,SSTIN,SSTIN
CELL.4297,CELL.4297,7,Injury_2DPI_rep1_SS200000147BL_D5,4297,6,8113.0,2515.0,uninj,D,NO,SSTIN,SSTIN
CELL.4298,CELL.4298,0,Injury_2DPI_rep1_SS200000147BL_D5,4298,9,8109.0,2786.0,uninj,D,NO,Microglia,MCG
CELL.4300,CELL.4300,3,Injury_2DPI_rep1_SS200000147BL_D5,4300,6,8113.0,3810.0,uninj,V,NO,MPIN,MPIN
CELL.4301,CELL.4301,3,Injury_2DPI_rep1_SS200000147BL_D5,4301,6,8110.0,2844.0,uninj,D,NO,SSTIN,SSTIN
CELL.4302,CELL.4302,3,Injury_2DPI_rep1_SS200000147BL_D5,4302,6,8112.0,2094.0,uninj,D,NO,SSTIN,SSTIN
CELL.4305,CELL.4305,7,Injury_2DPI_rep1_SS200000147BL_D5,4305,6,8113.0,3766.0,uninj,V,NO,MPIN,MPIN
CELL.4306,CELL.4306,7,Injury_2DPI_rep1_SS200000147BL_D5,4306,6,8117.0,2390.0,uninj,D,NO,SSTIN,SSTIN
CELL.4307,CELL.4307,7,Injury_2DPI_rep1_SS200000147BL_D5,4307,6,8118.0,2551.0,uninj,D,NO,SSTIN,SSTIN
CELL.4308,CELL.4308,3,Injury_2DPI_rep1_SS200000147BL_D5,4308,6,8119.0,2729.0,uninj,D,NO,SSTIN,SSTIN
CELL.4309,CELL.4309,3,Injury_2DPI_rep1_SS200000147BL_D5,4309,1,8118.0,3703.0,uninj,V,NO,DPEX,DPEX
CELL.4310,CELL.4310,7,Injury_2DPI_rep1_SS200000147BL_D5,4310,1,8119.0,2192.0,uninj,D,NO,DPEX,DPEX
CELL.4311,CELL.4311,3,Injury_2DPI_rep1_SS200000147BL_D5,4311,6,8115.0,3544.0,uninj,V,NO,MPIN,MPIN
CELL.4313,CELL.4313,0,Injury_2DPI_rep1_SS200000147BL_D5,4313,6,8119.0,3508.0,uninj,V,NO,VLMC,VLMC
CELL.4314,CELL.4314,3,Injury_2DPI_rep1_SS200000147BL_D5,4314,1,8119.0,3628.0,uninj,V,NO,DPEX,DPEX
CELL.4315,CELL.4315,3,Injury_2DPI_rep1_SS200000147BL_D5,4315,6,8121.0,1914.0,uninj,D,NO,SSTIN,SSTIN
CELL.4318,CELL.4318,0,Injury_2DPI_rep1_SS200000147BL_D5,4318,2,8118.0,4999.0,uninj,V,NO,VLMC,VLMC
CELL.4319,CELL.4319,7,Injury_2DPI_rep1_SS200000147BL_D5,4319,6,8134.0,2707.0,uninj,D,NO,MPIN,MPIN
CELL.4320,CELL.4320,3,Injury_2DPI_rep1_SS200000147BL_D5,4320,6,8122.0,3205.0,uninj,D,NO,MPIN,MPIN
CELL.4322,CELL.4322,3,Injury_2DPI_rep1_SS200000147BL_D5,4322,6,8126.0,3052.0,uninj,D,NO,SSTIN,SSTIN
CELL.4323,CELL.4323,7,Injury_2DPI_rep1_SS200000147BL_D5,4323,6,8132.0,2366.0,uninj,D,NO,SSTIN,SSTIN
CELL.4324,CELL.4324,3,Injury_2DPI_rep1_SS200000147BL_D5,4324,6,8127.0,3182.0,uninj,D,NO,MPIN,MPIN
CELL.4325,CELL.4325,3,Injury_2DPI_rep1_SS200000147BL_D5,4325,3,8126.0,3419.0,uninj,V,NO,DPEX,DPEX
CELL.4326,CELL.4326,3,Injury_2DPI_rep1_SS200000147BL_D5,4326,4,8122.0,3573.0,uninj,V,NO,CMPN,CMPN
CELL.4327,CELL.4327,3,Injury_2DPI_rep1_SS200000147BL_D5,4327,1,8132.0,3292.0,uninj,V,NO,DPEX,DPEX
CELL.4329,CELL.4329,3,Injury_2DPI_rep1_SS200000147BL_D5,4329,6,8129.0,1873.0,uninj,D,NO,SSTIN,SSTIN
CELL.4330,CELL.4330,7,Injury_2DPI_rep1_SS200000147BL_D5,4330,6,8135.0,1989.0,uninj,D,NO,SSTIN,SSTIN
CELL.4335,CELL.4335,6,Injury_2DPI_rep1_SS200000147BL_D5,4335,1,8134.0,3987.0,uninj,V,NO,DPEX,DPEX
CELL.4336,CELL.4336,0,Injury_2DPI_rep1_SS200000147BL_D5,4336,6,8137.0,2110.0,uninj,D,NO,SSTIN,SSTIN
CELL.4338,CELL.4338,3,Injury_2DPI_rep1_SS200000147BL_D5,4338,6,8137.0,2024.0,uninj,D,NO,SSTIN,SSTIN
CELL.4339,CELL.4339,7,Injury_2DPI_rep1_SS200000147BL_D5,4339,6,8134.0,1784.0,uninj,D,NO,MPIN,MPIN
CELL.4340,CELL.4340,3,Injury_2DPI_rep1_SS200000147BL_D5,4340,6,8143.0,3198.0,uninj,D,NO,MPIN,MPIN
CELL.4341,CELL.4341,3,Injury_2DPI_rep1_SS200000147BL_D5,4341,6,8140.0,2863.0,uninj,D,NO,SSTIN,SSTIN
CELL.4342,CELL.4342,7,Injury_2DPI_rep1_SS200000147BL_D5,4342,6,8138.0,3805.0,uninj,V,NO,MPIN,MPIN
CELL.4343,CELL.4343,7,Injury_2DPI_rep1_SS200000147BL_D5,4343,6,8142.0,2541.0,uninj,D,NO,MPIN,MPIN
CELL.4344,CELL.4344,7,Injury_2DPI_rep1_SS200000147BL_D5,4344,3,8146.0,2500.0,uninj,D,NO,DPEX,DPEX
CELL.4345,CELL.4345,3,Injury_2DPI_rep1_SS200000147BL_D5,4345,1,8143.0,2750.0,uninj,D,NO,DPEX,DPEX
CELL.4346,CELL.4346,0,Injury_2DPI_rep1_SS200000147BL_D5,4346,3,8143.0,3450.0,uninj,V,NO,OBNBL,OBNBL
CELL.4347,CELL.4347,3,Injury_2DPI_rep1_SS200000147BL_D5,4347,6,8144.0,2159.0,uninj,D,NO,SSTIN,SSTIN
CELL.4349,CELL.4349,7,Injury_2DPI_rep1_SS200000147BL_D5,4349,6,8147.0,3679.0,uninj,V,NO,SSTIN,SSTIN
CELL.4351,CELL.4351,3,Injury_2DPI_rep1_SS200000147BL_D5,4351,3,8149.0,2581.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.4352,CELL.4352,3,Injury_2DPI_rep1_SS200000147BL_D5,4352,3,8156.0,3168.0,uninj,D,NO,DPEX,DPEX
CELL.4353,CELL.4353,3,Injury_2DPI_rep1_SS200000147BL_D5,4353,3,8151.0,3914.0,uninj,V,NO,DPEX,DPEX
CELL.4355,CELL.4355,7,Injury_2DPI_rep1_SS200000147BL_D5,4355,1,8156.0,2060.0,uninj,D,NO,DPEX,DPEX
CELL.4356,CELL.4356,0,Injury_2DPI_rep1_SS200000147BL_D5,4356,2,8155.0,4873.0,uninj,V,NO,VLMC,VLMC
CELL.4357,CELL.4357,7,Injury_2DPI_rep1_SS200000147BL_D5,4357,6,8162.0,2400.0,uninj,D,NO,SSTIN,SSTIN
CELL.4358,CELL.4358,0,Injury_2DPI_rep1_SS200000147BL_D5,4358,3,8159.0,3063.0,uninj,D,NO,CMPN,CMPN
CELL.4359,CELL.4359,0,Injury_2DPI_rep1_SS200000147BL_D5,4359,2,8160.0,4910.0,uninj,V,NO,VLMC,VLMC
CELL.4360,CELL.4360,7,Injury_2DPI_rep1_SS200000147BL_D5,4360,6,8162.0,2207.0,uninj,D,NO,MPIN,MPIN
CELL.4361,CELL.4361,3,Injury_2DPI_rep1_SS200000147BL_D5,4361,1,8162.0,3139.0,uninj,D,NO,DPEX,DPEX
CELL.4362,CELL.4362,7,Injury_2DPI_rep1_SS200000147BL_D5,4362,6,8165.0,2691.0,uninj,D,NO,MPIN,MPIN
CELL.4365,CELL.4365,7,Injury_2DPI_rep1_SS200000147BL_D5,4365,6,8162.0,2357.0,uninj,D,NO,SSTIN,SSTIN
CELL.4366,CELL.4366,3,Injury_2DPI_rep1_SS200000147BL_D5,4366,6,8167.0,1723.0,uninj,D,NO,SSTIN,SSTIN
CELL.4367,CELL.4367,7,Injury_2DPI_rep1_SS200000147BL_D5,4367,6,8173.0,1948.0,uninj,D,NO,SSTIN,SSTIN
CELL.4368,CELL.4368,3,Injury_2DPI_rep1_SS200000147BL_D5,4368,2,8168.0,3260.0,uninj,V,NO,VLMC,VLMC
CELL.4369,CELL.4369,3,Injury_2DPI_rep1_SS200000147BL_D5,4369,6,8174.0,3715.0,uninj,V,NO,SSTIN,SSTIN
CELL.4370,CELL.4370,7,Injury_2DPI_rep1_SS200000147BL_D5,4370,6,8172.0,2538.0,uninj,D,NO,MPIN,MPIN
CELL.4371,CELL.4371,7,Injury_2DPI_rep1_SS200000147BL_D5,4371,6,8179.0,2788.0,uninj,D,NO,SSTIN,SSTIN
CELL.4372,CELL.4372,7,Injury_2DPI_rep1_SS200000147BL_D5,4372,6,8168.0,3771.0,uninj,V,NO,MPIN,MPIN
CELL.4374,CELL.4374,3,Injury_2DPI_rep1_SS200000147BL_D5,4374,6,8179.0,2944.0,uninj,D,NO,MPIN,MPIN
CELL.4375,CELL.4375,3,Injury_2DPI_rep1_SS200000147BL_D5,4375,6,8176.0,1922.0,uninj,D,NO,SSTIN,SSTIN
CELL.4376,CELL.4376,3,Injury_2DPI_rep1_SS200000147BL_D5,4376,6,8178.0,1819.0,uninj,D,NO,SSTIN,SSTIN
CELL.4377,CELL.4377,7,Injury_2DPI_rep1_SS200000147BL_D5,4377,6,8179.0,2843.0,uninj,D,NO,SSTIN,SSTIN
CELL.4378,CELL.4378,3,Injury_2DPI_rep1_SS200000147BL_D5,4378,1,8182.0,3288.0,uninj,V,NO,DPEX,DPEX
CELL.4379,CELL.4379,7,Injury_2DPI_rep1_SS200000147BL_D5,4379,6,8179.0,3659.0,uninj,V,NO,SSTIN,SSTIN
CELL.4380,CELL.4380,0,Injury_2DPI_rep1_SS200000147BL_D5,4380,6,8182.0,2129.0,uninj,D,NO,SSTIN,SSTIN
CELL.4381,CELL.4381,6,Injury_2DPI_rep1_SS200000147BL_D5,4381,3,8182.0,1562.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.4382,CELL.4382,7,Injury_2DPI_rep1_SS200000147BL_D5,4382,1,8182.0,2505.0,uninj,D,NO,DPEX,DPEX
CELL.4383,CELL.4383,7,Injury_2DPI_rep1_SS200000147BL_D5,4383,1,8187.0,2254.0,uninj,D,NO,DPEX,DPEX
CELL.4384,CELL.4384,3,Injury_2DPI_rep1_SS200000147BL_D5,4384,3,8184.0,2479.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.4386,CELL.4386,0,Injury_2DPI_rep1_SS200000147BL_D5,4386,0,8183.0,3911.0,uninj,V,NO,CMPN,CMPN
CELL.4387,CELL.4387,0,Injury_2DPI_rep1_SS200000147BL_D5,4387,2,8189.0,5068.0,uninj,V,NO,VLMC,VLMC
CELL.4388,CELL.4388,3,Injury_2DPI_rep1_SS200000147BL_D5,4388,6,8186.0,2193.0,uninj,D,NO,MPIN,MPIN
CELL.4389,CELL.4389,3,Injury_2DPI_rep1_SS200000147BL_D5,4389,6,8180.0,3409.0,uninj,V,NO,SSTIN,SSTIN
CELL.4391,CELL.4391,7,Injury_2DPI_rep1_SS200000147BL_D5,4391,6,8188.0,2068.0,uninj,D,NO,SSTIN,SSTIN
CELL.4392,CELL.4392,3,Injury_2DPI_rep1_SS200000147BL_D5,4392,6,8187.0,3803.0,uninj,V,NO,MPIN,MPIN
CELL.4393,CELL.4393,7,Injury_2DPI_rep1_SS200000147BL_D5,4393,1,8188.0,2597.0,uninj,D,NO,DPEX,DPEX
CELL.4394,CELL.4394,7,Injury_2DPI_rep1_SS200000147BL_D5,4394,6,8187.0,3052.0,uninj,D,NO,SSTIN,SSTIN
CELL.4395,CELL.4395,3,Injury_2DPI_rep1_SS200000147BL_D5,4395,1,8185.0,3165.0,uninj,D,NO,DPEX,DPEX
CELL.4396,CELL.4396,7,Injury_2DPI_rep1_SS200000147BL_D5,4396,6,8188.0,2721.0,uninj,D,NO,MPIN,MPIN
CELL.4398,CELL.4398,6,Injury_2DPI_rep1_SS200000147BL_D5,4398,6,8193.0,1539.0,uninj,D,NO,SSTIN,SSTIN
CELL.4399,CELL.4399,3,Injury_2DPI_rep1_SS200000147BL_D5,4399,3,8195.0,2004.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.4401,CELL.4401,7,Injury_2DPI_rep1_SS200000147BL_D5,4401,6,8196.0,2915.0,uninj,D,NO,MPIN,MPIN
CELL.4402,CELL.4402,7,Injury_2DPI_rep1_SS200000147BL_D5,4402,3,8197.0,2678.0,uninj,D,NO,CMPN,CMPN
CELL.4403,CELL.4403,3,Injury_2DPI_rep1_SS200000147BL_D5,4403,4,8194.0,3601.0,uninj,V,NO,CMPN,CMPN
CELL.4404,CELL.4404,3,Injury_2DPI_rep1_SS200000147BL_D5,4404,14,8194.0,4050.0,uninj,V,NO,OLIGO,OLIGO
CELL.4405,CELL.4405,3,Injury_2DPI_rep1_SS200000147BL_D5,4405,1,8197.0,3300.0,uninj,V,NO,DPEX,DPEX
CELL.4408,CELL.4408,6,Injury_2DPI_rep1_SS200000147BL_D5,4408,6,8199.0,1681.0,uninj,D,NO,SSTIN,SSTIN
CELL.4410,CELL.4410,7,Injury_2DPI_rep1_SS200000147BL_D5,4410,6,8197.0,2394.0,uninj,D,NO,MPIN,MPIN
CELL.4412,CELL.4412,0,Injury_2DPI_rep1_SS200000147BL_D5,4412,5,8204.0,1613.0,uninj,D,NO,OBNBL,OBNBL
CELL.4414,CELL.4414,0,Injury_2DPI_rep1_SS200000147BL_D5,4414,2,8192.0,5043.0,uninj,V,NO,VLMC,VLMC
CELL.4415,CELL.4415,7,Injury_2DPI_rep1_SS200000147BL_D5,4415,6,8207.0,1896.0,uninj,D,NO,SSTIN,SSTIN
CELL.4416,CELL.4416,3,Injury_2DPI_rep1_SS200000147BL_D5,4416,6,8205.0,2959.0,uninj,D,NO,MPIN,MPIN
CELL.4417,CELL.4417,3,Injury_2DPI_rep1_SS200000147BL_D5,4417,1,8209.0,2222.0,uninj,D,NO,DPEX,DPEX
CELL.4418,CELL.4418,7,Injury_2DPI_rep1_SS200000147BL_D5,4418,1,8206.0,2284.0,uninj,D,NO,DPEX,DPEX
CELL.4419,CELL.4419,7,Injury_2DPI_rep1_SS200000147BL_D5,4419,6,8209.0,2795.0,uninj,D,NO,SSTIN,SSTIN
CELL.4420,CELL.4420,7,Injury_2DPI_rep1_SS200000147BL_D5,4420,6,8211.0,1970.0,uninj,D,NO,SSTIN,SSTIN
CELL.4421,CELL.4421,3,Injury_2DPI_rep1_SS200000147BL_D5,4421,1,8210.0,2368.0,uninj,D,NO,DPEX,DPEX
CELL.4422,CELL.4422,3,Injury_2DPI_rep1_SS200000147BL_D5,4422,6,8210.0,1744.0,uninj,D,NO,SSTIN,SSTIN
CELL.4423,CELL.4423,3,Injury_2DPI_rep1_SS200000147BL_D5,4423,1,8218.0,2253.0,uninj,D,NO,DPEX,DPEX
CELL.4424,CELL.4424,0,Injury_2DPI_rep1_SS200000147BL_D5,4424,9,8213.0,5079.0,uninj,V,NO,VLMC,VLMC
CELL.4425,CELL.4425,7,Injury_2DPI_rep1_SS200000147BL_D5,4425,1,8218.0,2522.0,uninj,D,NO,DPEX,DPEX
CELL.4428,CELL.4428,7,Injury_2DPI_rep1_SS200000147BL_D5,4428,6,8218.0,2561.0,uninj,D,NO,SSTIN,SSTIN
CELL.4429,CELL.4429,3,Injury_2DPI_rep1_SS200000147BL_D5,4429,3,8220.0,2061.0,uninj,D,NO,DPEX,DPEX
CELL.4430,CELL.4430,7,Injury_2DPI_rep1_SS200000147BL_D5,4430,6,8229.0,2338.0,uninj,D,NO,SSTIN,SSTIN
CELL.4431,CELL.4431,3,Injury_2DPI_rep1_SS200000147BL_D5,4431,1,8222.0,3251.0,uninj,V,NO,MPEX,MPEX
CELL.4434,CELL.4434,3,Injury_2DPI_rep1_SS200000147BL_D5,4434,1,8224.0,3062.0,uninj,D,NO,DPEX,DPEX
CELL.4435,CELL.4435,7,Injury_2DPI_rep1_SS200000147BL_D5,4435,6,8226.0,2746.0,uninj,D,NO,MPIN,MPIN
CELL.4436,CELL.4436,0,Injury_2DPI_rep1_SS200000147BL_D5,4436,6,8228.0,3757.0,uninj,V,NO,MPIN,MPIN
CELL.4438,CELL.4438,0,Injury_2DPI_rep1_SS200000147BL_D5,4438,6,8229.0,1631.0,uninj,D,NO,SSTIN,SSTIN
CELL.4439,CELL.4439,7,Injury_2DPI_rep1_SS200000147BL_D5,4439,1,8230.0,2101.0,uninj,D,NO,DPEX,DPEX
CELL.4440,CELL.4440,3,Injury_2DPI_rep1_SS200000147BL_D5,4440,6,8225.0,2698.0,uninj,D,NO,SSTIN,SSTIN
CELL.4443,CELL.4443,7,Injury_2DPI_rep1_SS200000147BL_D5,4443,1,8229.0,2000.0,uninj,D,NO,DPEX,DPEX
CELL.4444,CELL.4444,3,Injury_2DPI_rep1_SS200000147BL_D5,4444,6,8228.0,2773.0,uninj,D,NO,SSTIN,SSTIN
CELL.4445,CELL.4445,3,Injury_2DPI_rep1_SS200000147BL_D5,4445,6,8229.0,1701.0,uninj,D,NO,SSTIN,SSTIN
CELL.4446,CELL.4446,3,Injury_2DPI_rep1_SS200000147BL_D5,4446,1,8229.0,3644.0,uninj,V,NO,DPEX,DPEX
CELL.4447,CELL.4447,7,Injury_2DPI_rep1_SS200000147BL_D5,4447,1,8236.0,2230.0,uninj,D,NO,DPEX,DPEX
CELL.4448,CELL.4448,7,Injury_2DPI_rep1_SS200000147BL_D5,4448,6,8243.0,2457.0,uninj,D,NO,SSTIN,SSTIN
CELL.4449,CELL.4449,3,Injury_2DPI_rep1_SS200000147BL_D5,4449,3,8237.0,4266.0,uninj,V,NO,CMPN,CMPN
CELL.4452,CELL.4452,7,Injury_2DPI_rep1_SS200000147BL_D5,4452,3,8239.0,2604.0,uninj,D,NO,DPEX,DPEX
CELL.4453,CELL.4453,7,Injury_2DPI_rep1_SS200000147BL_D5,4453,3,8235.0,2875.0,uninj,D,NO,CMPN,CMPN
CELL.4454,CELL.4454,3,Injury_2DPI_rep1_SS200000147BL_D5,4454,1,8244.0,2901.0,uninj,D,NO,DPEX,DPEX
CELL.4457,CELL.4457,0,Injury_2DPI_rep1_SS200000147BL_D5,4457,6,8239.0,3723.0,uninj,V,NO,MPIN,MPIN
CELL.4459,CELL.4459,7,Injury_2DPI_rep1_SS200000147BL_D5,4459,1,8241.0,2276.0,uninj,D,NO,DPEX,DPEX
CELL.4460,CELL.4460,7,Injury_2DPI_rep1_SS200000147BL_D5,4460,1,8242.0,2374.0,uninj,D,NO,DPEX,DPEX
CELL.4461,CELL.4461,7,Injury_2DPI_rep1_SS200000147BL_D5,4461,6,8238.0,1901.0,uninj,D,NO,SSTIN,SSTIN
CELL.4464,CELL.4464,3,Injury_2DPI_rep1_SS200000147BL_D5,4464,1,8246.0,1763.0,uninj,D,NO,DPEX,DPEX
CELL.4465,CELL.4465,7,Injury_2DPI_rep1_SS200000147BL_D5,4465,1,8246.0,2136.0,uninj,D,NO,DPEX,DPEX
CELL.4466,CELL.4466,3,Injury_2DPI_rep1_SS200000147BL_D5,4466,4,8246.0,4015.0,uninj,V,NO,CMPN,CMPN
CELL.4467,CELL.4467,0,Injury_2DPI_rep1_SS200000147BL_D5,4467,9,8244.0,5065.0,uninj,V,NO,VLMC,VLMC
CELL.4468,CELL.4468,7,Injury_2DPI_rep1_SS200000147BL_D5,4468,1,8244.0,2841.0,uninj,D,NO,DPEX,DPEX
CELL.4470,CELL.4470,7,Injury_2DPI_rep1_SS200000147BL_D5,4470,1,8254.0,1988.0,uninj,D,NO,DPEX,DPEX
CELL.4472,CELL.4472,7,Injury_2DPI_rep1_SS200000147BL_D5,4472,1,8244.0,2414.0,uninj,D,NO,DPEX,DPEX
CELL.4473,CELL.4473,3,Injury_2DPI_rep1_SS200000147BL_D5,4473,1,8253.0,3454.0,uninj,V,NO,DPEX,DPEX
CELL.4474,CELL.4474,7,Injury_2DPI_rep1_SS200000147BL_D5,4474,1,8254.0,2185.0,uninj,D,NO,DPEX,DPEX
CELL.4475,CELL.4475,7,Injury_2DPI_rep1_SS200000147BL_D5,4475,1,8258.0,2571.0,uninj,D,NO,DPEX,DPEX
CELL.4477,CELL.4477,3,Injury_2DPI_rep1_SS200000147BL_D5,4477,6,8260.0,1541.0,uninj,D,NO,SSTIN,SSTIN
CELL.4478,CELL.4478,3,Injury_2DPI_rep1_SS200000147BL_D5,4478,1,8258.0,3335.0,uninj,V,NO,DPEX,DPEX
CELL.4479,CELL.4479,3,Injury_2DPI_rep1_SS200000147BL_D5,4479,1,8260.0,3540.0,uninj,V,NO,DPEX,DPEX
CELL.4480,CELL.4480,3,Injury_2DPI_rep1_SS200000147BL_D5,4480,6,8259.0,3065.0,uninj,D,NO,SSTIN,SSTIN
CELL.4481,CELL.4481,3,Injury_2DPI_rep1_SS200000147BL_D5,4481,6,8262.0,3756.0,uninj,V,NO,MPIN,MPIN
CELL.4482,CELL.4482,6,Injury_2DPI_rep1_SS200000147BL_D5,4482,6,8261.0,4369.0,uninj,V,NO,MPIN,MPIN
CELL.4485,CELL.4485,7,Injury_2DPI_rep1_SS200000147BL_D5,4485,1,8261.0,2503.0,uninj,D,NO,DPEX,DPEX
CELL.4487,CELL.4487,3,Injury_2DPI_rep1_SS200000147BL_D5,4487,6,8264.0,3821.0,uninj,V,NO,MPIN,MPIN
CELL.4488,CELL.4488,6,Injury_2DPI_rep1_SS200000147BL_D5,4488,3,8264.0,4163.0,uninj,V,NO,CMPN,CMPN
